id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q272408,Emily Thornberry,2016-07-20,2016-10-06,,Q6383803,,
Q6383803,Keir Starmer,2016-10-06,2020-04-04,Q272408,,,
